1358542457.862318 - nlsr_lsdb.c, install_adj_lsa, 907 : adj_lsa_end
1358542527.631329 - nlsr_lsdb.c, install_adj_lsa, 887 : Adj-LSA
1358542527.631427 - nlsr_lsdb.c, install_adj_lsa, 888 : Deleting adj lsa
1358542527.631460 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358542527.631491 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/mira
1358542527.631523 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 25
1358542527.631555 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358542527.631587 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542457297426
1358542527.631636 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358542527.631666 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 2
1358542527.631697 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358542527.631726 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/maia	
1358542527.631755 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 25	
1358542527.631783 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 9	
1358542527.631812 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358542527.631842 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 981 :		Link 2	 	
1358542527.631870 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 982 :		Adjacent Router: /ndn/memphis.edu/cs/castor	
1358542527.631899 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 983 :		Adjacent Router Length: 27	
1358542527.631928 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 984 :		Connecting Face: 10	
1358542527.631956 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 985 :		Metric: 10	
1358542527.631986 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358542527.632014 - nlsr_lsdb.c, install_adj_lsa, 890 : adj_lsa_end
1358542527.632047 - nlsr_lsdb.c, install_adj_lsa, 904 : Adj-LSA
1358542527.632424 - nlsr_lsdb.c, install_adj_lsa, 905 : Adding adj lsa
1358542527.632462 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358542527.632491 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/mira
1358542527.632520 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 25
1358542527.632549 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358542527.632579 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542527386235
